Tipo_Dado,Tamanho_Array,Algoritmo,Tempo_ms,Tempo_s,Comparacoes,Trocas,Memoria_Auxiliar_Bytes
Aleatório,100,Bubble Sort,0.000000,0.000000,4872,2430,0
Aleatório,100,Insertion Sort,0.000000,0.000000,2527,93,0
Aleatório,100,Selection Sort,0.000000,0.000000,4950,96,0
Aleatório,100,Merge Sort,0.000000,0.000000,535,672,400
Aleatório,100,Quick Sort,0.000000,0.000000,735,450,0
Aleatório,250,Bubble Sort,0.000000,0.000000,31047,15882,0
Aleatório,250,Insertion Sort,1.118000,0.001118,16128,243,0
Aleatório,250,Selection Sort,0.000000,0.000000,31125,240,0
Aleatório,250,Merge Sort,1.503000,0.001503,1669,1994,1000
Aleatório,250,Quick Sort,0.000000,0.000000,2396,1380,0
Aleatório,500,Bubble Sort,1.030000,0.001030,123525,62360,0
Aleatório,500,Insertion Sort,1.004000,0.001004,62856,492,0
Aleatório,500,Selection Sort,1.009000,0.001009,124750,490,0
Aleatório,500,Merge Sort,0.000000,0.000000,3849,4488,2000
Aleatório,500,Quick Sort,0.000000,0.000000,4739,2743,0
Aleatório,1000,Bubble Sort,4.029000,0.004029,498905,252610,0
Aleatório,1000,Insertion Sort,0.000000,0.000000,253605,990,0
Aleatório,1000,Selection Sort,2.829000,0.002829,499500,988,0
Aleatório,1000,Merge Sort,0.000000,0.000000,8689,9976,4000
Aleatório,1000,Quick Sort,1.131000,0.001131,10474,6274,0
Aleatório,2500,Bubble Sort,24.158000,0.024158,3120747,1568911,0
Aleatório,2500,Insertion Sort,7.876000,0.007876,1571406,2488,0
Aleatório,2500,Selection Sort,11.282000,0.011282,3123750,2493,0
Aleatório,2500,Merge Sort,1.356000,0.001356,25108,28404,10000
Aleatório,2500,Quick Sort,0.000000,0.000000,33627,20699,0
Aleatório,5000,Bubble Sort,92.873000,0.092873,12495904,6199653,0
Aleatório,5000,Insertion Sort,30.964000,0.030964,6204648,4989,0
Aleatório,5000,Selection Sort,44.522000,0.044522,12497500,4994,0
Aleatório,5000,Merge Sort,2.018000,0.002018,55232,61808,20000
Aleatório,5000,Quick Sort,1.003000,0.001003,69899,41531,0
Aleatório,10000,Bubble Sort,371.546000,0.371546,49990995,24903415,0
Aleatório,10000,Insertion Sort,131.924000,0.131924,24913410,9988,0
Aleatório,10000,Selection Sort,179.825000,0.179825,49995000,9983,0
Aleatório,10000,Merge Sort,4.567000,0.004567,120386,133616,40000
Aleatório,10000,Quick Sort,1.011000,0.001011,166227,93611,0
Aleatório,25000,Bubble Sort,2578.887000,2.578887,312476622,155747516,0
Aleatório,25000,Insertion Sort,818.221000,0.818221,155772510,24986,0
Aleatório,25000,Selection Sort,1099.649000,1.099649,312487500,24990,0
Aleatório,25000,Merge Sort,11.024000,0.011024,334125,367232,100000
